Provider #,Campus #,Program #,TWIST Provider ID,TWIST Program ID,Program Status,Provider Name,Description Of Provider,Provider URL,Institution Type,Campus Name,Campus Address1,Campus Address2,Campus City,Campus State,Campus Zip Code,Campus County,"Information:
Public Transit?","Information:
Onsite Childcare?","Information:
Flexible Hours?",Program Name,Program Description,Pell Eligible,Academic PreRequisites,Program URL,Program Outcome,Associated Credential Name,"Length:
Contact Hours","Length:
Weeks",Program Format,Occupation Code 1,Occupation Code 2,Occupation Code 3," Required Cost:
Tuition & Fees ","Required Cost Description:
Tuition & Fees"," Required Cost:
Books Supplies ","Required Cost Description:
Books Supplies"," Optional Cost:
Other ","Optional Cost Description:
Other"," (Out Of District)
Cost: 
Tuition & Fees ","(Out Of District)
Cost Description:
 Tuition & Fees",Number Of Apprentices,Program Start Date,Program Last Update Date
10158,20327,32199,72597,108680,Approved,Absolute Allied Health Academy,Educational Training Facility,www.absoluthttps://absolutecprdallas.com/allied-health-programsecprdallas.com,Private non-profit,Absolute Allied Health Academy,402 W Wheatland Road Ste 180,,Duncanville,TX,75116,Dallas,,Yes,No,Accelerated Medical Assistant Program,Medical/Clinical Assistant,No,High School Diploma or Equivalent,s5569director@gmail.com,Secondary school diploma or its equivalent,,470,0,Hybrid,31909200,31909700,, 10500 ,Tuition Registration Books Supplies Tools Lab Fee, 230 ,Textbooks BP Cuff Stethoscope, 1200 ,"laptop, scrubs, cert exam and Phlebotomy arm",,,,"February 12, 2021 2:30 PM","August 27, 2021 1:49 PM"
10158,20327,32195,72597,108676,Approved,Absolute Allied Health Academy,Educational Training Facility,www.absoluthttps://absolutecprdallas.com/allied-health-programsecprdallas.com,Private non-profit,Absolute Allied Health Academy,402 W Wheatland Road Ste 180,,Duncanville,TX,75116,Dallas,,Yes,No,Clinical Laboratory Testing Procedure Seminar,Medical/Clinical Assistant,No,High School Diploma or Equivalent,s5569director@gmail.com,Secondary school diploma or its equivalent,,8,0,Hybrid,31909200,,, 365 ,Tuition Registration Books Supplies / Lab Fee, 250 ,Student material Lab testing supplies,,,,,,"February 12, 2021 2:30 PM","August 27, 2021 1:49 PM"
10158,20327,32196,72597,108677,Approved,Absolute Allied Health Academy,Educational Training Facility,www.absoluthttps://absolutecprdallas.com/allied-health-programsecprdallas.com,Private non-profit,Absolute Allied Health Academy,402 W Wheatland Road Ste 180,,Duncanville,TX,75116,Dallas,,Yes,No,EKG Basics Seminar,Electrocardiograph Technology/Technician,No,High School Diploma or Equivalent,s5569director@gmail.com,Industry recognized certificate or certification,,5,0,Hybrid,31909200,,, 375 ,Tuition Registration Books Supplies / Lab Fee, 150 ,Textbook,,,,,,"February 12, 2021 2:30 PM","August 27, 2021 1:49 PM"
10158,20327,32197,72597,108678,Approved,Absolute Allied Health Academy,Educational Training Facility,www.absoluthttps://absolutecprdallas.com/allied-health-programsecprdallas.com,Private non-profit,Absolute Allied Health Academy,402 W Wheatland Road Ste 180,,Duncanville,TX,75116,Dallas,,Yes,No,IV Therapy Seminar,,No,High School Diploma or Equivalent,s5569director@gmail.com,Secondary school diploma or its equivalent,,8,0,Hybrid,31909200,,, 435 ,Tuition Registration Books Supplies / Lab Fee, 160 ,Student material Lab testing supplies,,,,,,"February 12, 2021 2:30 PM","August 27, 2021 1:49 PM"
10158,20327,32201,72597,108682,Approved,Absolute Allied Health Academy,Educational Training Facility,www.absoluthttps://absolutecprdallas.com/allied-health-programsecprdallas.com,Private non-profit,Absolute Allied Health Academy,402 W Wheatland Road Ste 180,,Duncanville,TX,75116,Dallas,,Yes,No,Medical Assistant Seminar,Medical/Clinical Assistant,No,High School Diploma or Equivalent,s5569director@gmail.com,Secondary school diploma or its equivalent,,8,0,Hybrid,31909200,31909700,, 500 ,Tuition Registration Books Supplies / Lab Fee, 100 ,"Textbook, BP Cuff Stethoscope", 500 ,Phlebotomy arm supplies and test fee,,,,"February 12, 2021 2:30 PM","August 27, 2021 1:49 PM"
10158,20327,32200,72597,108681,Approved,Absolute Allied Health Academy,Educational Training Facility,www.absoluthttps://absolutecprdallas.com/allied-health-programsecprdallas.com,Private non-profit,Absolute Allied Health Academy,402 W Wheatland Road Ste 180,,Duncanville,TX,75116,Dallas,,Yes,No,Nurse Assistant Program,Nursing Assistant/Aide and Patient Care Assistant/Aide,No,High School Diploma or Equivalent,s5569director@gmail.com,Secondary school diploma or its equivalent,,100,0,Hybrid,31113100,31112200,, 1275 ,Tuition Registration Books Tools LMS System, 100 ,Text book Books Gait belt,,,,,,"February 12, 2021 2:30 PM","March 30, 2021 4:41 PM"
10158,20327,32202,72597,108683,Approved,Absolute Allied Health Academy,Educational Training Facility,www.absoluthttps://absolutecprdallas.com/allied-health-programsecprdallas.com,Private non-profit,Absolute Allied Health Academy,402 W Wheatland Road Ste 180,,Duncanville,TX,75116,Dallas,,Yes,No,Nurse Assistant Seminar,Nursing Assistant/Aide and Patient Care Assistant/Aide,No,High School Diploma or Equivalent,s5569director@gmail.com,Secondary school diploma or its equivalent,,8,0,Hybrid,31113100,31112200,, 445 ,Tuition Registration Books Supplies / Lab Fee, 55 ,Student Manual Lab supplies,,,,,,"February 12, 2021 2:30 PM","March 30, 2021 4:41 PM"
10158,20327,32194,72597,108675,Approved,Absolute Allied Health Academy,Educational Training Facility,www.absoluthttps://absolutecprdallas.com/allied-health-programsecprdallas.com,Private non-profit,Absolute Allied Health Academy,402 W Wheatland Road Ste 180,,Duncanville,TX,75116,Dallas,,Yes,No,Phlebotomy Program,Phlebotomy Technician/Phlebotomist,No,High School Diploma or Equivalent,s5569director@gmail.com,Secondary school diploma or its equivalent,,98,0,Hybrid,31909700,31909200,, 1650 ,Tuition Registration Books Supplies Tools Lab Exam Fee, 175 ,Textbooks Phlebotomy supplies, 1200 ,"laptop, scrubs, cert exam and Phlebotomy arm",,,,"February 12, 2021 2:30 PM","August 27, 2021 1:49 PM"
10158,20327,32198,72597,108679,Approved,Absolute Allied Health Academy,Educational Training Facility,www.absoluthttps://absolutecprdallas.com/allied-health-programsecprdallas.com,Private non-profit,Absolute Allied Health Academy,402 W Wheatland Road Ste 180,,Duncanville,TX,75116,Dallas,,Yes,No,Phlebotomy Seminar,Phlebotomy Technician/Phlebotomist,No,High School Diploma or Equivalent,s5569director@gmail.com,Secondary school diploma or its equivalent,,8,0,Hybrid,31909700,31909200,, 500 ,Tuition Registration Books Supplies / Lab Fee, 35 ,Student Manual Lab supplies, 450 ,Phlebotomy arm supplies and test fee,,,,"February 12, 2021 2:30 PM","August 27, 2021 1:49 PM"
801,1951,8829,72209,107191,Approved,Academy School of Careers Inc,,www.academyschoolofcareers.com,Private non-profit,Main Campus,9001 Cashew,STE 100,El Paso,TX,79907,El Paso,,,,Bilingual Electrical Assistant Program,Electrician,No,None,www.academyschoolofcareers.com,No credential - employment only,,400,0,Distance Education,,,, 4200 ,,,,,,,,,"September 4, 2019 1:14 PM","August 19, 2020 8:50 AM"
801,1951,8830,72209,107192,Approved,Academy School of Careers Inc,,www.academyschoolofcareers.com,Private non-profit,Main Campus,9001 Cashew,STE 100,El Paso,TX,79907,El Paso,,,,Bookkeeping/Accounting Clerk,Accounting Technology/Technician and Bookkeeping,No,None,www.academyschoolofcareers.com,No credential - employment only,,506,0,Distance Education,,,, 4250 ,,,,,,,,,"September 4, 2019 1:14 PM","August 19, 2020 8:50 AM"
801,1951,8831,72209,107193,Approved,Academy School of Careers Inc,,www.academyschoolofcareers.com,Private non-profit,Main Campus,9001 Cashew,STE 100,El Paso,TX,79907,El Paso,,,,Computer Support Technician Program,Computer Support Specialist,No,None,www.academyschoolofcareers.com,No credential - employment only,,589,0,Distance Education,,,, 6200 ,,,,,,,,,"September 4, 2019 1:14 PM","August 19, 2020 8:50 AM"
801,1951,8832,72209,107194,Approved,Academy School of Careers Inc,,www.academyschoolofcareers.com,Private non-profit,Main Campus,9001 Cashew,STE 100,El Paso,TX,79907,El Paso,,,,Plumbing as a Metal Trades Program,Plumbing Technology/Plumber,No,None,www.academyschoolofcareers.com,No credential - employment only,,400,0,Distance Education,,,, 4200 ,,,,,,,,,"September 4, 2019 1:14 PM","August 19, 2020 8:50 AM"
801,1951,30541,72209,107133,Approved,Academy School of Careers Inc,,www.academyschoolofcareers.com,Private non-profit,Main Campus,9001 Cashew,STE 100,El Paso,TX,79907,El Paso,,,,Truck Driver's Heavy equipment Operator Combo,Construction/Heavy Equipment/Earthmoving Equipment Operation,No,None,www.academyschoolofcareers.com,Industry recognized certificate or certification,Commercial Driver License,486,10,Distance Education,,,, 10000 ,,,Drivers Handbook,,,,,,"January 22, 2020 10:28 AM","August 19, 2020 8:50 AM"
801,1951,8833,72209,104408,Approved,Academy School of Careers Inc,,www.academyschoolofcareers.com,Private non-profit,Main Campus,9001 Cashew,STE 100,El Paso,TX,79907,El Paso,,,,Truck Driving,Truck and Bus Driver/Commercial Vehicle Operator and Instructor,No,None,www.academyschoolofcareers.com,Industry recognized certificate or certification,CDL / Class A Commercial Driver License,200,0,Distance Education,,,, 4200 ,,,,,,,,,"September 4, 2019 1:14 PM","August 19, 2020 8:50 AM"
10092,20220,31244,72552,108212,Approved,ACCD Northeast Lakeview College,Alamo Colleges offer a vast array of programs and two year degrees. Recent capital improvement programs have allowed us to create some of the best facilities for teaching and learning in the country. Our credits transfer to four year universities for those pursuing bachelors or higher degrees. And our continuing education and workforce development programs help individuals build new careers and meet the needs of business. The Alamo Colleges District empowers our diverse communities for success.,http://www.alamo.edu/nlc/,Higher Ed -majority of credentials awarded are associates degrees,Main Campus,1201 Kitty Hawk Rd.,,Universal City,TX,78148,Bexar,No,No,No,"CompTIA Linux+ Certification Preparation, OSA",Computer and Information Systems Security/Information Assurance,Yes,High School Diploma or Equivalent,https://mynlccatalog.alamo.edu/preview_program.php?catoid=195&poid=34260&returnto=12939,Community college certificate of completion,(OSA) Occupational Skills Award,192,16,Hybrid,15121200,15121000,15113300, 944 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,,,, 1988 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,"June 25, 2020 1:40 PM","September 21, 2020 2:17 PM"
10092,20220,31243,72552,108211,Approved,ACCD Northeast Lakeview College,Alamo Colleges offer a vast array of programs and two year degrees. Recent capital improvement programs have allowed us to create some of the best facilities for teaching and learning in the country. Our credits transfer to four year universities for those pursuing bachelors or higher degrees. And our continuing education and workforce development programs help individuals build new careers and meet the needs of business. The Alamo Colleges District empowers our diverse communities for success.,http://www.alamo.edu/nlc/,Higher Ed -majority of credentials awarded are associates degrees,Main Campus,1201 Kitty Hawk Rd.,,Universal City,TX,78148,Bexar,No,No,No,"CompTIA Linux+ Certification Preparation, OSA",Computer and Information Systems Security/Information Assurance,Yes,High School Diploma or Equivalent,https://mynlccatalog.alamo.edu/preview_program.php?catoid=195&poid=34260&returnto=12939,Community college certificate of completion,(OSA) Occupational Skills Award,192,16,Distance Education,15121200,15121000,15113300, 944 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,,,, 1583 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,"June 25, 2020 1:40 PM","September 21, 2020 2:17 PM"
10092,20220,31235,72552,108203,Approved,ACCD Northeast Lakeview College,Alamo Colleges offer a vast array of programs and two year degrees. Recent capital improvement programs have allowed us to create some of the best facilities for teaching and learning in the country. Our credits transfer to four year universities for those pursuing bachelors or higher degrees. And our continuing education and workforce development programs help individuals build new careers and meet the needs of business. The Alamo Colleges District empowers our diverse communities for success.,http://www.alamo.edu/nlc/,Higher Ed -majority of credentials awarded are associates degrees,Main Campus,1201 Kitty Hawk Rd.,,Universal City,TX,78148,Bexar,No,No,No,CompTIA Security Certification Preparation (OSA),Computer Systems Networking and Telecommunications,Yes,High School Diploma or Equivalent,https://mynlccatalog.alamo.edu/preview_program.php?catoid=195&poid=34261&returnto=12939,Community college certificate of completion,(OSA) Occupational Skills Award,208,16,Hybrid,15121200,15121000,15113300, 1046 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,,,, 2206 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,"June 25, 2020 1:40 PM","September 21, 2020 2:17 PM"
10092,20220,31242,72552,108210,Approved,ACCD Northeast Lakeview College,Alamo Colleges offer a vast array of programs and two year degrees. Recent capital improvement programs have allowed us to create some of the best facilities for teaching and learning in the country. Our credits transfer to four year universities for those pursuing bachelors or higher degrees. And our continuing education and workforce development programs help individuals build new careers and meet the needs of business. The Alamo Colleges District empowers our diverse communities for success.,http://www.alamo.edu/nlc/,Higher Ed -majority of credentials awarded are associates degrees,Main Campus,1201 Kitty Hawk Rd.,,Universal City,TX,78148,Bexar,No,No,No,CompTIA Security Certification Preparation (OSA),Computer Systems Networking and Telecommunications,Yes,High School Diploma or Equivalent,https://mynlccatalog.alamo.edu/preview_program.php?catoid=195&poid=34261&returnto=12939,Community college certificate of completion,(OSA) Occupational Skills Award,208,16,Distance Education,15121200,15121000,15113300, 1046 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,,,, 2206 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,"June 25, 2020 1:40 PM","September 21, 2020 2:17 PM"
10092,20220,31241,72552,108209,Approved,ACCD Northeast Lakeview College,Alamo Colleges offer a vast array of programs and two year degrees. Recent capital improvement programs have allowed us to create some of the best facilities for teaching and learning in the country. Our credits transfer to four year universities for those pursuing bachelors or higher degrees. And our continuing education and workforce development programs help individuals build new careers and meet the needs of business. The Alamo Colleges District empowers our diverse communities for success.,http://www.alamo.edu/nlc/,Higher Ed -majority of credentials awarded are associates degrees,Main Campus,1201 Kitty Hawk Rd.,,Universal City,TX,78148,Bexar,No,No,No,"Cyber Defense, A.A.S.",Computer Systems Networking and Telecommunications,Yes,High School Diploma or Equivalent,https://mynlccatalog.alamo.edu/preview_program.php?catoid=195&poid=36001&returnto=12939,Associates Degree,(AS) Associate of Science,1232,80,Hybrid,15121200,15122000,15114100, 6250 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021, 1000 ,Textbooks and supplies,,, 13210 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,"June 25, 2020 1:40 PM","September 21, 2020 2:17 PM"
10092,20220,31240,72552,108208,Approved,ACCD Northeast Lakeview College,Alamo Colleges offer a vast array of programs and two year degrees. Recent capital improvement programs have allowed us to create some of the best facilities for teaching and learning in the country. Our credits transfer to four year universities for those pursuing bachelors or higher degrees. And our continuing education and workforce development programs help individuals build new careers and meet the needs of business. The Alamo Colleges District empowers our diverse communities for success.,http://www.alamo.edu/nlc/,Higher Ed -majority of credentials awarded are associates degrees,Main Campus,1201 Kitty Hawk Rd.,,Universal City,TX,78148,Bexar,No,No,No,"Cyber Defense, A.A.S.",Computer Systems Networking and Telecommunications,Yes,High School Diploma or Equivalent,https://mynlccatalog.alamo.edu/preview_program.php?catoid=195&poid=36001&returnto=12939,Associates Degree,(AS) Associate of Science,1232,80,Distance Education,15121200,15122000,15114100, 6250 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021, 1000 ,Textbooks and supplies,,, 10510 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,"June 25, 2020 1:40 PM","September 21, 2020 2:17 PM"
10092,20220,31237,72552,108205,Approved,ACCD Northeast Lakeview College,Alamo Colleges offer a vast array of programs and two year degrees. Recent capital improvement programs have allowed us to create some of the best facilities for teaching and learning in the country. Our credits transfer to four year universities for those pursuing bachelors or higher degrees. And our continuing education and workforce development programs help individuals build new careers and meet the needs of business. The Alamo Colleges District empowers our diverse communities for success.,http://www.alamo.edu/nlc/,Higher Ed -majority of credentials awarded are associates degrees,Main Campus,1201 Kitty Hawk Rd.,,Universal City,TX,78148,Bexar,No,No,No,Information Technology Cybersecurity Specialist Level I Certificate,Computer and Information Systems Security/Information Assurance,Yes,High School Diploma or Equivalent,https://mynlccatalog.alamo.edu/preview_program.php?catoid=195&poid=34262&returnto=12939,Community college certificate of completion,(CL1) Certificate Level 1,576,32,Hybrid,15121200,15121000,15113300, 2908 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,,,, 6156 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,"June 25, 2020 1:40 PM","September 21, 2020 2:17 PM"
10092,20220,31236,72552,108204,Approved,ACCD Northeast Lakeview College,Alamo Colleges offer a vast array of programs and two year degrees. Recent capital improvement programs have allowed us to create some of the best facilities for teaching and learning in the country. Our credits transfer to four year universities for those pursuing bachelors or higher degrees. And our continuing education and workforce development programs help individuals build new careers and meet the needs of business. The Alamo Colleges District empowers our diverse communities for success.,http://www.alamo.edu/nlc/,Higher Ed -majority of credentials awarded are associates degrees,Main Campus,1201 Kitty Hawk Rd.,,Universal City,TX,78148,Bexar,No,No,No,Information Technology Cybersecurity Specialist Level I Certificate,Computer and Information Systems Security/Information Assurance,Yes,High School Diploma or Equivalent,https://mynlccatalog.alamo.edu/preview_program.php?catoid=195&poid=34262&returnto=12939,Community college certificate of completion,(CL1) Certificate Level 1,576,32,Distance Education,15121200,15121000,15113300, 2908 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,,,, 4896 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,"June 25, 2020 1:40 PM","September 21, 2020 2:17 PM"
10092,20220,31239,72552,108207,Approved,ACCD Northeast Lakeview College,Alamo Colleges offer a vast array of programs and two year degrees. Recent capital improvement programs have allowed us to create some of the best facilities for teaching and learning in the country. Our credits transfer to four year universities for those pursuing bachelors or higher degrees. And our continuing education and workforce development programs help individuals build new careers and meet the needs of business. The Alamo Colleges District empowers our diverse communities for success.,http://www.alamo.edu/nlc/,Higher Ed -majority of credentials awarded are associates degrees,Main Campus,1201 Kitty Hawk Rd.,,Universal City,TX,78148,Bexar,No,No,No,"Network Administration Technology, A.A.S.","System, Networking, and LAN/WAN Management/Manager",Yes,High School Diploma or Equivalent,https://mynlccatalog.alamo.edu/preview_program.php?catoid=195&poid=34264&returnto=12939,Associates Degree,(AS) Associate of Science,1360,80,Hybrid,15123100,15115200,15113300, 6250 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021, 1000 ,Textbooks and supplies,,, 13210 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,"June 25, 2020 1:40 PM","September 21, 2020 2:17 PM"
10092,20220,31238,72552,108206,Approved,ACCD Northeast Lakeview College,Alamo Colleges offer a vast array of programs and two year degrees. Recent capital improvement programs have allowed us to create some of the best facilities for teaching and learning in the country. Our credits transfer to four year universities for those pursuing bachelors or higher degrees. And our continuing education and workforce development programs help individuals build new careers and meet the needs of business. The Alamo Colleges District empowers our diverse communities for success.,http://www.alamo.edu/nlc/,Higher Ed -majority of credentials awarded are associates degrees,Main Campus,1201 Kitty Hawk Rd.,,Universal City,TX,78148,Bexar,No,No,No,"Network Administration Technology, A.A.S.","System, Networking, and LAN/WAN Management/Manager",Yes,High School Diploma or Equivalent,https://mynlccatalog.alamo.edu/preview_program.php?catoid=195&poid=34264&returnto=12939,Associates Degree,(AS) Associate of Science,1360,80,Distance Education,15123100,15115200,15113300, 6250 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021, 1000 ,Textbooks and supplies,,, 10510 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,"June 25, 2020 1:40 PM","September 21, 2020 2:17 PM"
802,1952,8844,72210,104419,Approved,ACCD Northwest Vista College,,http://www.alamo.edu/nvc/,Higher Ed -majority of credentials awarded are associates degrees,Main Campus,3535 North Ellison Drive,,San Antonio,TX,78251,Bexar,,,,Certificate Information Security Assurance,Computer Systems Networking and Telecommunications,Yes,High School Diploma or Equivalent,www.alamo.edu/nvc,No credential - employment only,,576,,In-person,15114300,,, 2168 ,, 325 ,,,,,,,"September 4, 2019 1:14 PM","August 19, 2020 8:46 AM"
802,1952,31260,72210,108059,Approved,ACCD Northwest Vista College,,http://www.alamo.edu/nvc/,Higher Ed -majority of credentials awarded are associates degrees,Main Campus,3535 North Ellison Drive,,San Antonio,TX,78251,Bexar,,,,Cisco Certified Network Associate (CCNA) Level 1 Certificate,Computer Systems Networking and Telecommunications,Yes,High School Diploma or Equivalent,https://mynvccatalog.alamo.edu/preview_program.php?catoid=196&poid=34288&returnto=12939,Community college certificate of completion,(CL1) Certificate Level 1,320,32,In-person,15115200,15114200,15114300, 1684 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,,,, 3540 ,Alamo Colleges District Schedule of Tuition and Fees Effective Fall 2020 FY 2020-2021,,"June 26, 2020 4:09 PM","September 21, 2020 2:17 PM"
